Code_UAI;services_num
0320014S;Bien
0320028G;Bien
0320030J;Bien
0320033M;Bien
0320036R;Bien
0340008Z;Trés bien
0340040J;Trés bien
0340111L;Trés bien
0340972X;Bien
0340973Y;Trés bien
0340974Z;Bien
0341030K;Bien
0341321B;Trés bien
0341736C;Bien
0341794R;Trés bien
0341825Z;Bien
0341826A;Trés bien
0342050U;Trés bien
0342066L;Bien
0342132H;Trés bien
0460006G;Trés bien
0460010L;Trés bien
0460013P;Bien
0460027E;Bien
0460030H;Bien
0460593V;Bien
0480688M;Trés bien
0650017R;Bien
0650019T;Trés bien
0650025Z;Trés bien
0650038N;Trés bien
0650041S;Trés bien
0650089U;Bien
0650740B;Bien
0660008A;Bien
0660010C;Trés bien
0660011D;Bien
0660019M;Trés bien
0660030Z;Bien
0660480N;Bien
0660601V;Bien
0660866H;Bien
0810008U;Bien
0810020G;Trés bien
0810023K;Bien
0810037A;Bien
0810044H;Trés bien
0810051R;Bien
0810124V;Bien
0810125W;Bien
0810787R;Bien
0811144D;Bien
0811197L;Bien
0820011S;Bien
0820022D;Bien
0820066B;Trés bien
0820067C;Bien
0820683X;Trés bien
0090001C;Bien
0090002D;Trés bien
0090009L;Bien
0090013R;Trés bien
0090020Y;Bien
0090478W;Bien
0110012D;Bien
0110022P;Trés bien
0110025T;Bien
0110666P;Trés bien
0110676A;Trés bien
0120004P;Trés bien
0120022J;Bien
0300020J;Trés bien
0300026R;Bien
0300027S;Trés bien
0300141R;Bien
0301014P;Trés bien
0301656M;Bien
0301723K;Bien
0310023G;Bien
0310032S;Bien
0310035V;Trés bien
0310092G;Trés bien
0311093V;Trés bien
0311112R;Trés bien
0311263E;Trés bien
0311264F;Trés bien
0311334G;Bien
0311573S;Trés bien
0311581A;Bien
0311720B;Trés bien
0311721C;Bien
0311722D;Bien
0311902Z;Trés bien
0312139G;Trés bien
0312220V;Trés bien
0312267W;Trés bien
0312289V;Trés bien
0312290W;Trés bien
0312612W;Trés bien
0312686B;Trés bien
0312698P;Trés bien
0312700S;Trés bien
0312762J;Trés bien
0312799Z;Bien
0312843X;Trés bien
0312938A;Trés bien
0320012P;Bien
0320013R;Bien
0320030J;Bien
0320067Z;Trés bien
0320563N;Bien
0340031Z;Bien
0340037F;Bien
0340042L;Trés bien
0340065L;Bien
0340076Y;Bien
0340086J;Trés bien
0340110K;Bien
0340974Z;Bien
0341066Z;Bien
0341592W;Trés bien
0341826A;Trés bien
0342051V;Trés bien
0342132H;Trés bien
0342266D;Bien
0460018V;Trés bien
0480007X;Bien
0650020U;Bien
0650036L;Trés bien
0660004W;Trés bien
0660008A;Bien
0660010C;Trés bien
0660028X;Trés bien
0660078B;Trés bien
0660600U;Trés bien
0660809W;Trés bien
0660864F;Bien
0660925X;Bien
0810002M;Trés bien
0810008U;Bien
0810012Y;Bien
0810027P;Trés bien
0810028R;Bien
0810033W;Trés bien
0810036Z;Trés bien
0810043G;Bien
0810052S;Trés bien
0810126X;Trés bien
0810959C;Bien
0810960D;Trés bien
0811032G;Bien
0820004J;Trés bien
0820011S;Bien
0820067C;Bien
0820684Y;Trés bien
0820713E;Trés bien
0820917B;Trés bien
